campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Dearborn,LEO Lecturer II,Dbn CEHHS Education-OPERATIONS,44690,8-Month,0.25,11172.56
Dearborn,PROFESSOR,Dbn-Language Culture Communctn,91465,8-Month,1,91465
Dearborn,PROFESSOR,"Dbn Col of Arts, Sci & Letters",313720,12-Month,1,313720
Dearborn,ASSOC PROFESSOR,Dbn CEHHS Education-OPERATIONS,75966,8-Month,1,75966
Dearborn,LEO Lecturer II,Dbn CEHHS Education-OPERATIONS,42656.57,8-Month,0.33,14215.3
Dearborn,PROFESSOR,Dbn-Language Culture Communctn,90154.74,8-Month,1,90154.74
Dearborn,LEO Lecturer II,Dbn-Language Culture Communctn,41820,8-Month,1,41820
Dearborn,PROFESSOR,Dbn CASL College-Wide Programs,88703,8-Month,1,88703
Dearborn,PROFESSOR,Dbn CASL-Physical Sciences,90950.2,8-Month,1,90950.2
Dearborn,LEO Lecturer III,Dbn Col of Bus-Mgmt Studies,75195.42,8-Month,1,75195.42
Dearborn,LEO Lecturer II,Dbn CASL-Sociology & Anthropol,43916.15,8-Month,1,43916.15
Dearborn,LEO Lecturer IV,Dbn-Language Culture Communctn,70544.47,8-Month,1,70544.47
Dearborn,ASSOC PROFESSOR,Dbn CASL-Psychology,81650,8-Month,1,81650
Dearborn,ASSOC PROFESSOR,Dbn CASL-Physical Sciences,87506,8-Month,1,87506
Dearborn,LEO Lecturer I,Dbn-Language Culture Communctn,41820,8-Month,0.75,31365
Dearborn,PROFESSOR,Dbn CASL-Sociology & Anthropol,92360,8-Month,1,92360
Dearborn,LEO Lecturer I,"Dbn-Literature,Philosophy&Arts",41820,8-Month,0.5,20910
Dearborn,PROFESSOR,Dbn CEHHS Education-OPERATIONS,90343,8-Month,1,90343
Dearborn,ASST PROFESSOR,Dbn CASL College-Wide Programs,67764,8-Month,0.67,45402
Dearborn,ASST PROFESSOR,Dbn CASL-Social Sciences,72226,8-Month,0.33,23834.58
Dearborn,ASSOC PROFESSOR,Dbn CASL-Sociology & Anthropol,99782,8-Month,1,99782
Dearborn,LEO Lecturer IV,Dbn CASL-Social Sciences,54477.95,8-Month,1,54477.95
Dearborn,LEO Intermittent Lecturer,Dbn CEHHS Health & Human Serv,41820,8-Month,0.25,10455.04
Dearborn,LEO Lecturer I,Dbn Col of Bus-Acctg & Finance,41917.72,8-Month,0.25,10479.44
Dearborn,ASSOC PROFESSOR,Dbn Col of Eng-Electric & Comp,109428,8-Month,1,109428
Dearborn,LEO Lecturer II,Dbn CEHHS Education-OPERATIONS,44690,8-Month,0.3,13407
Dearborn,ASST PROFESSOR,Dbn-Language Culture Communctn,68000,8-Month,1,68000
Dearborn,PROFESSOR,Dbn Col of Eng-Electric & Comp,318826.88,12-Month,0.6,191296.13
Dearborn,PROFESSOR,"Dbn-Literature,Philosophy&Arts",99323,8-Month,1,99323
Dearborn,ASST PROFESSOR,Dbn Col of Eng-Computer & Info,95852,8-Month,1,95852
Dearborn,ASST PROFESSOR,Dbn Coll of Eng-Mechanical Eng,101358,8-Month,1,101358
Dearborn,PROFESSOR,Dbn CEHHS Education-OPERATIONS,95648,8-Month,0.4,38259
Dearborn,ASST PROFESSOR,Dbn CASL-Biological Sciences,67000,8-Month,1,67000
Dearborn,LEO Lecturer II,Dbn CASL-Natural Sciences,49482,8-Month,0.56,27709.92
Dearborn,LEO Lecturer II,Dbn CASL-Physical Sciences,44747.4,8-Month,0.19,8502.01
Dearborn,ASST PROFESSOR,Dbn Col of Eng-Electric & Comp,93500,8-Month,1,93500
Dearborn,LEO Lecturer I,Dbn Col of Bus-Mgmt Studies,49939.2,8-Month,0.75,37454.4
Dearborn,ASST PROFESSOR,Dbn Col of Eng-Indust & Sys En,97004,8-Month,1,97004
Dearborn,LEO Intermittent Lecturer,Dbn Col of Eng-Computer & Info,43436.4,8-Month,0.33,14334.01
Dearborn,ASSOC PROFESSOR,"Dbn-Literature,Philosophy&Arts",77211,8-Month,1,77211
Dearborn,PROFESSOR,Dbn CASL-Math & Statistics,89784.2,8-Month,1,89784.2
Dearborn,LEO Lecturer III,Dbn Col of Bus-Mgmt Studies,74460,8-Month,1,74460
Dearborn,LEO Lecturer II,Dbn Col of Eng-Indust & Sys En,48804,8-Month,0.5,24402
Dearborn,LEO Lecturer II,"Dbn-Literature,Philosophy&Arts",44217.08,8-Month,0.5,22108.54
Dearborn,ASSOC PROFESSOR,Dbn CASL-Sociology & Anthropol,81206,8-Month,1,81206
Dearborn,PROFESSOR,Dbn CEHHS Education-OPERATIONS,88524,8-Month,1,88524
Dearborn,LEO Lecturer II,Dbn Writing Center,48626.1,8-Month,1,48626.16
Dearborn,ASSOC PROFESSOR,Dbn Col of Bus-Mgmt Studies,155535,8-Month,1,155535
Dearborn,LEO Intermittent Lecturer,Dbn CASL-Criminal Justice,51374.88,8-Month,0.5,25687.44
Dearborn,ASST PROFESSOR,Dbn Col of Bus-Mgmt Studies,116736,8-Month,1,116736
Dearborn,LEO Adjunct Lecturer,Dbn CASL College-Wide Programs,45008,8-Month,0.25,11252
Dearborn,LEO Intermittent Lecturer,Dbn Col of Eng-Electric & Comp,41820,8-Month,0.08,3481.52
Dearborn,LEO Intermittent Lecturer,Dbn CEHHS Education-OPERATIONS,41820,8-Month,0.09,3972.9
Dearborn,LEO Lecturer I,Dbn Writing Center,41820,8-Month,0.75,31365
Dearborn,ASSOC PROFESSOR,Dbn CASL-Math & Statistics,80900,8-Month,1,80900
Dearborn,LEO Lecturer II,Dbn-Language Culture Communctn,45153.53,8-Month,0.33,15047.44
Dearborn,LEO Lecturer II,Dbn CASL-Natural Sciences,46694.58,8-Month,1,46694.56
Dearborn,ASSOC PROFESSOR,Dbn Coll of Eng-Mechanical Eng,109842,8-Month,1,109842
Dearborn,LEO Lecturer II,Dbn Col of Eng-Indust & Sys En,56843,8-Month,0.41,23675.11
Dearborn,CLINICAL PROFESSOR,Dbn-Language Culture Communctn,86466,8-Month,0.37,32424.75
