campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Flint,LEO Lecturer IV,Flint Computer Science,94936.07,9-Month,1,94936.07
Flint,ASSOC PROFESSOR,Flint Physics,77787.3,9-Month,1,77787.3
Flint,ASSOC PROFESSOR,Flint Art & Art History,72758.5,9-Month,1,72758.5
Flint,ASSOC PROFESSOR,Flint Africana Studies Dept,81713.87,9-Month,1,81713.87
Flint,LEO Lecturer I,Flint Art & Art History,41820,8-Month,0.25,10337.52
Flint,LEO Lecturer II,Flint Communications Studies,44268,9-Month,0.37,16600.5
Flint,LEO Intermittent Lecturer,Flint Physical Therapy,64505.08,8-Month,0.41,26213.76
Flint,ASSOC PROFESSOR,Flint English,77713.11,9-Month,1,77713.11
Flint,LEO Lecturer I,"Flint Soc,Anthropology & CJ",41820,8-Month,0.25,10337.6
Flint,LEO Lecturer II,Flint Philosophy,45153.36,9-Month,0.75,33865.02
Flint,ASST PROFESSOR,Flint Nursing,94500,12-Month,0.5,47250
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,34000,8-Month,0.3,10085.36
Flint,LEO Lecturer I,Flint Education,41000,8-Month,0.37,15202.24
Flint,LEO Lecturer IV,Flint Physics,81872.33,9-Month,1,81872.33
Flint,LEO Lecturer II,"Flint Geo, Planning & Environ",44217,8-Month,1,43720.24
Flint,LEO Lecturer II,Flint Social Work,45642.48,8-Month,0.5,22564.88
Flint,ASST PROFESSOR,Flint Social Work,57976.8,9-Month,1,57976.8
Flint,LEO Lecturer II,Flint Nursing,52658.71,8-Month,0.22,11454.8
Flint,LEO Lecturer II,Flint Biology,62201.48,9-Month,0.5,31100.74
Flint,LEO Lecturer II,Flint Computer Science,45642.35,8-Month,0.5,22564.72
Flint,ASSOC PROFESSOR,Flint Nursing,89733.09,9-Month,1,89733.09
Flint,ASSOC PROFESSOR,Flint Theatre and Dance,75265.08,9-Month,1,75265.08
Flint,LEO Lecturer II,Flint Physical Therapy,76521.56,9-Month,0.19,14768.66
Flint,PROFESSOR,Flint Mathematics,93062.6,9-Month,1,93062.6
Flint,PROFESSOR,Flint History,104510.66,9-Month,1,104510.66
Flint,ASSOC PROFESSOR,Flint Mathematics,92232.42,9-Month,1,92232.42
Flint,LEO Lecturer II,Flint Biology,45583.8,9-Month,1,45583.8
Flint,LEO Lecturer II,Flint Nursing,44690,8-Month,0.5,22094
Flint,LEO Lecturer II,Flint Computer Science,44690,9-Month,0.25,11172.5
Flint,LEO Lecturer II,Flint Physics,47312.19,9-Month,0.41,19729.18
Flint,LEO Lecturer IV,Flint History,71722.29,9-Month,0.25,17930.57
Flint,ASSOC PROFESSOR,Flint Music,74299.78,9-Month,1,74299.78
Flint,ASSOC PROFESSOR,Flint Psychology,77778.88,9-Month,1,77778.88
Flint,PROFESSOR,Flint School of Management,144587.74,9-Month,1,144587.74
Flint,PROFESSOR,Flint School of Management,145839.3,9-Month,1,145839.3
Flint,ASSOC PROFESSOR,Flint History,75578.71,9-Month,1,0
Flint,LEO Lecturer II,Flint Mathematics,44268,8-Month,0.25,10942.64
Flint,LEO Lecturer II,Flint Dept of Chem/Biochem,45153.36,8-Month,1,44646.08
Flint,LEO Lecturer II,Flint Art & Art History,44244.64,8-Month,0.5,21873.76
Flint,LEO Lecturer II,Flint Nursing,54928,8-Month,0.6,32586.48
Flint,LEO Intermittent Lecturer,Flint Physical Therapy,64505.22,8-Month,0.14,9248.24
Flint,LEO Lecturer II,Flint Social Work,45583.8,8-Month,0.5,22535.84
Flint,LEO Lecturer IV,Flint Dept Pub Hlth & Hlth Sci,86957.36,12-Month,0.59,51304.85
Flint,LEO Lecturer II,Flint English,45153.36,9-Month,0.75,33865.02
Flint,ASSOC PROFESSOR,Flint English,80077.25,9-Month,1,80077.25
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,36622.28,8-Month,0.35,12990.64
Flint,ASSOC PROFESSOR,Flint Biology,71874.74,9-Month,1,71874.74
Flint,LEO Lecturer II,Flint Biology,62714.58,8-Month,1,62009.92
Flint,PROFESSOR,Flint Psychology,90894.29,9-Month,1,90894.29
Flint,LEO Lecturer I,Flint Dept of Chem/Biochem,41820,8-Month,1,41350.16
Flint,LEO Lecturer II,Flint Education,45185.03,8-Month,0.58,26058.08
Flint,ASSOC PROFESSOR,Flint Music,75166.19,9-Month,1,75166.19
Flint,ASSOC PROFESSOR,Flint Physical Therapy,107317.63,12-Month,1,107317.63
Flint,LEO Lecturer IV,Flint Dept of Chem/Biochem,73304.3,9-Month,1,73304.3
Flint,ASSOC PROFESSOR,Flint Theatre and Dance,76054.28,9-Month,1,76054.28
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,34510,8-Month,0.3,10236.64
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,36000,8-Month,0.57,20289.44
Flint,LEO Lecturer II,Flint Social Work,45642.43,8-Month,0.25,11282.4
Flint,LEO Lecturer II,Flint Art & Art History,43916.15,8-Month,0.25,10855.68
Flint,LEO Lecturer II,Flint Theatre and Dance,47312.28,8-Month,0.25,11695.2
Flint,LEO Lecturer II,Flint Psychology,45153.36,9-Month,0.75,33865.02
Flint,LEO Lecturer II,Flint Nursing,49378.37,8-Month,0.93,45564.56
Flint,LEO Lecturer II,Flint Education,44690,8-Month,0.66,29785.89
Flint,LEO Lecturer II,Flint Computer Science,51205.94,9-Month,0.91,46955.85
Flint,PROFESSOR,Flint School of Management,153559.26,9-Month,0.33,50674.56
Flint,ASST PROFESSOR,Flint School of Management,129348.32,9-Month,1,129348.32
Flint,PROFESSOR,"Flint Geo, Planning & Environ",107629.84,9-Month,1,107629.84
Flint,ASSOC PROFESSOR,Flint Nursing,130165.4,12-Month,0.5,65082.7
Flint,ASSOC PROFESSOR,Flint School of Management,126144.14,9-Month,1,126144.14
Flint,ASSOC PROFESSOR,Flint Dept of Chem/Biochem,77896.6,9-Month,1,77896.6
Flint,LEO Lecturer II,Flint Mpa Program,53750.88,9-Month,0.25,13437.72
Flint,ASSOC PROFESSOR,Flint Education,71606.98,9-Month,1,71606.98
Flint,LEO Intermittent Lecturer,Flint Physical Therapy,71590.64,8-Month,0.11,7786.48
Flint,LEO Lecturer I,Flint Engineering,41820,8-Month,1,41350.08
Flint,LEO Lecturer II,Flint Dept Pub Hlth & Hlth Sci,48314.09,8-Month,0.25,11942.88
Flint,ASST PROFESSOR,Flint Social Work,57976.8,9-Month,1,54979.4
Flint,ASSOC PROFESSOR,Flint Dept of Chem/Biochem,77210.39,9-Month,1,77210.39
Flint,LEO Intermittent Lecturer,Flint Physical Therapy,62000,8-Month,0.19,11831.52
Flint,LEO Intermittent Lecturer,Flint Physical Therapy,63240,8-Month,0.33,21134.96
Flint,PROFESSOR,Flint History,96508,9-Month,1,96508
Flint,LEO Lecturer IV,Flint School of Management,75730.68,9-Month,1,75730.68
Flint,ASSOC PROFESSOR,Flint Education,73779.83,9-Month,1,73779.83
Flint,ASSOC PROFESSOR,Flint English,77986.94,9-Month,1,77986.94
Flint,LEO Lecturer II,Flint Foreign Language,46680.45,9-Month,1,46680.45
Flint,ASSOC PROFESSOR,Flint Dept Pub Hlth & Hlth Sci,89733.08,9-Month,1,89733.08
Flint,LEO Lecturer IV,Flint Nursing,104040,12-Month,0.5,52020
Flint,LEO Lecturer II,Flint Nursing,52070.57,8-Month,0.53,27454.72
Flint,ASSOC PROFESSOR,Flint Political Science,80790.16,9-Month,1,80790.16
Flint,ASSOC PROFESSOR,Flint Nursing,91701.2,9-Month,1,91701.2
Flint,LEO Lecturer II,Flint Nursing,53087.91,8-Month,0.82,43147.92
Flint,LEO Lecturer II,Flint Nursing,49394.84,8-Month,0.22,10744.8
Flint,LEO Lecturer IV,Flint School of Management,77399.77,9-Month,0.75,58049.83
Flint,LEO Lecturer II,Flint Education,47593.37,8-Month,0.25,11764.72
Flint,ASSOC PROFESSOR,Flint Dept Pub Hlth & Hlth Sci,87238.79,9-Month,1,87238.79
Flint,LEO Lecturer IV,Flint English,64483.25,9-Month,1,64483.25
