campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Ann Arbor,professor,LSA Sociology,200000,9-Month,1,160000
Ann Arbor,professor,School of Kinesiology,220095.6,9-Month,0.5,110047.8
Ann Arbor,professor,Industrial & Operations Engin,209898,9-Month,1,209898
Ann Arbor,professor,Int Med-Cardiology,225000,12-Month,1,0
Ann Arbor,leo adjunct lecturer,CoE Undergraduate Education,52530,8-Month,0.05,2620.8
Ann Arbor,leo lecturer ii,LSA Earth & Environmental Sci.,60291.61,8-Month,1,59614.16
Ann Arbor,asst professor,LSA Romance Languages & Lit.,79041.3,9-Month,1,79041.3
Ann Arbor,assoc professor,Psychiatry Department,163641.25,12-Month,1,53019.77
Ann Arbor,asst professor,Biomedical Engineering,104313,9-Month,1,83450.4
Ann Arbor,leo lecturer ii,LSA Middle East Studies,57538.44,8-Month,1,56892
Ann Arbor,assoc professor,Coll of Arch & Urban Planning,94666,9-Month,1,94666
Ann Arbor,asst professor,School of Nursing,90000,9-Month,1,45000
Ann Arbor,professor,Mechanical Engineering,233200,9-Month,0.5,112078.25
Ann Arbor,professor,School of Nursing,182540,12-Month,0.5,91270
Ann Arbor,leo intermittent lecturer,"School of Music,Theatre&Dance",105060,8-Month,0.12,0
Ann Arbor,leo lecturer iv,EECS - CSE Division,102640.23,9-Month,1,102640.23
Ann Arbor,leo lecturer i,School of Nursing,52530,8-Month,0.25,12984.96
Ann Arbor,professor,Sch for Environ and Sustain,198400.24,9-Month,0.75,0
Ann Arbor,professor,Ross School of Business,197500,9-Month,0.25,49375
Ann Arbor,professor,"Metabolism, Endo & Diabetes",225000,12-Month,1,6750
Ann Arbor,assoc professor,Obstetrics and Gynecology Dept,200000,12-Month,1,2946
Ann Arbor,professor,PHARMACY Clinical Pharmacy,327480,12-Month,1,327480
Ann Arbor,leo lecturer iii,LSA Economics,94760,9-Month,1,94760
Ann Arbor,clinical lecturer,DENT Dental Hygiene,68008.68,12-Month,1,68008.68
Ann Arbor,professor,Ross School of Business,366000,9-Month,1,293678.4
Ann Arbor,professor,LSA DAAS,127508,9-Month,1,127508
Ann Arbor,research professor,Biomedical Engineering,271273,12-Month,0.15,11845.95
Ann Arbor,research professor,Mechanical Engineering,271273,12-Month,0.85,48484.49
Ann Arbor,leo lecturer ii,Program in the Environment,94407.52,9-Month,0.25,23601.88
